实时力矩
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
┃  PATIENT:伦庆龙	┃  ITEM:被动训练	┃  STRAT TIME:2024/7/17 23:00:33	┃  Remarks:
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Fx	Tx	Fy	Ty	Fz	Tz
74.1401	-3.7493	-44.8195	1.1684	-97.4595	1.0396
74.4768	-3.5812	-46.2295	1.0154	-90.2109	1.0474
74.0329	-3.9923	-47.3745	1.2131	-102.2178	1.0129
74.1572	-3.7885	-48.9925	1.0552	-95.3657	0.9983
74.4971	-3.7023	-48.4681	1.0491	-93.7665	1.0234
74.5653	-3.4556	-49.0747	0.8755	-86.1570	1.0139
74.4938	-3.8958	-50.0139	1.0587	-96.1282	1.0184
74.4324	-4.1884	-51.4919	1.1414	-100.9432	1.0111
74.6266	-3.8880	-52.9206	0.8728	-86.5118	1.0237
74.2651	-4.2413	-56.9215	0.8643	-88.5024	0.9970
74.6254	-4.1654	-57.5172	0.7644	-82.7263	1.0077
74.7152	-4.3747	-56.8298	0.9749	-92.1985	1.0315
74.7916	-4.4125	-58.3550	0.9216	-90.0528	1.0260
74.1766	-4.6737	-62.4199	0.8594	-90.6070	0.9766
74.5842	-4.8094	-63.4705	0.8193	-93.0177	0.9768
74.7989	-4.5848	-64.7768	0.6334	-84.7493	0.9647
74.9697	-4.5197	-63.9100	0.6644	-83.7772	0.9870
74.8342	-4.6403	-65.1059	0.7151	-87.6004	0.9795
74.6785	-4.8486	-68.3959	0.7150	-90.6788	0.9556
74.5842	-4.8989	-69.4078	0.7183	-91.4392	0.9589
74.7084	-4.7103	-71.0233	0.5361	-83.3531	0.9441
74.5494	-4.9263	-73.7965	0.5418	-84.8149	0.9368
74.7487	-5.0128	-75.0655	0.5156	-85.3559	0.9315
74.6138	-5.1032	-74.5236	0.6085	-90.1086	0.9517
75.1343	-5.0716	-72.6670	0.6925	-91.8709	0.9966
75.1759	-5.0974	-71.0724	0.7829	-95.2521	1.0247
75.2545	-4.9711	-71.7453	0.6779	-90.5024	1.0214
75.8562	-4.9252	-69.4968	0.7627	-91.6733	1.0745
76.0838	-4.8801	-67.6342	0.8304	-92.6109	1.1108
76.0157	-4.8581	-67.5009	0.8340	-93.4445	1.1108
76.4554	-4.8561	-66.8162	0.8921	-95.1324	1.1306
76.8295	-4.4380	-66.3191	0.6810	-83.7041	1.1485
76.8452	-4.6702	-65.9291	0.8463	-91.5117	1.1609
77.0078	-4.6411	-66.1003	0.8459	-92.1238	1.1582
77.0515	-4.7274	-67.3771	0.8450	-92.6608	1.1615
77.4899	-4.4870	-67.5990	0.6925	-85.4894	1.1689
77.7425	-4.4445	-67.7246	0.6606	-83.8471	1.1771
77.5306	-4.8631	-69.2713	0.8388	-94.8144	1.1763
77.8413	-4.8191	-68.3151	0.8731	-94.6673	1.1874
77.9306	-4.6341	-67.8588	0.8186	-90.6025	1.1980
77.7685	-4.7893	-67.4014	0.9063	-95.7503	1.1957
77.7444	-4.5552	-67.2716	0.7726	-90.8567	1.1920
78.0943	-4.5743	-66.2939	0.8602	-92.7653	1.2315
78.3049	-4.6020	-66.2619	0.8848	-94.0045	1.2514
78.6385	-4.5674	-67.5620	0.8235	-92.0906	1.2515
79.1878	-4.5175	-67.6957	0.8299	-89.8247	1.2599
79.4477	-4.3342	-68.6257	0.7011	-83.8368	1.2650
79.2930	-4.6392	-69.5454	0.8320	-91.7699	1.2692
79.3618	-4.3623	-68.9267	0.6908	-85.8767	1.2539
79.0485	-4.3689	-68.2221	0.7100	-87.5541	1.2313
78.8187	-4.8009	-68.8125	0.9295	-99.3909	1.2247
79.3199	-4.3658	-65.4496	0.8268	-89.7661	1.2591
79.2252	-4.2597	-64.9994	0.7755	-86.5159	1.2697
79.1812	-4.5091	-66.4740	0.8584	-91.3356	1.2625
79.0590	-4.3704	-68.8274	0.6695	-85.4627	1.2256
79.1443	-4.6026	-68.1378	0.8605	-92.6654	1.2407
78.8061	-4.6812	-68.4091	0.8797	-94.2853	1.2410
78.6830	-4.3415	-68.1697	0.7024	-85.9020	1.2087
78.1370	-4.5781	-71.1443	0.6918	-91.0506	1.1622
78.4335	-4.4434	-71.2565	0.6323	-87.3592	1.1618
78.7351	-4.2638	-70.3274	0.6225	-85.5845	1.1782
78.3714	-4.6383	-69.8742	0.8686	-96.2493	1.1882
78.4964	-4.6655	-69.1009	0.9262	-97.9338	1.1968
78.5738	-4.2331	-68.4179	0.7056	-87.3355	1.1921
78.3202	-4.6999	-68.3201	0.9620	-100.4423	1.1967
78.7159	-4.4928	-66.7311	0.9211	-95.8309	1.2210
78.5272	-4.5717	-66.8239	0.9406	-96.8393	1.2071
78.7222	-4.3601	-66.7334	0.7953	-90.0830	1.1835
78.5734	-4.3677	-66.8966	0.7652	-90.4840	1.1637
78.4005	-4.6936	-67.1182	0.9245	-99.2707	1.1537
78.7796	-4.5443	-66.4877	0.8575	-95.2179	1.1670
78.5995	-4.6010	-66.4951	0.8809	-97.0619	1.1672
78.5213	-4.3255	-66.1359	0.7242	-89.0906	1.1434
78.1681	-4.6933	-65.8460	0.9324	-99.7506	1.1420
78.1794	-4.6797	-65.9271	0.9081	-98.5130	1.1362
78.1799	-4.5160	-65.0777	0.8655	-95.0821	1.1384
78.0082	-4.5815	-66.2101	0.8434	-95.2120	1.1162
77.9917	-4.7439	-65.6708	0.9442	-99.7454	1.1195
77.6873	-4.6173	-65.7752	0.8552	-95.8461	1.1104
77.8017	-4.7998	-64.6336	1.0010	-102.0562	1.1195
77.8119	-4.6441	-64.0372	0.9044	-97.7954	1.1213
77.4707	-4.5511	-63.1079	0.9011	-97.0295	1.1125
77.5654	-4.3589	-62.1183	0.8254	-93.2044	1.1144
77.3619	-4.1751	-61.8191	0.7204	-88.5107	1.0967
76.8941	-4.4793	-62.0363	0.8831	-98.1193	1.0783
76.8169	-4.2037	-61.5937	0.7267	-90.1570	1.0685
76.5657	-4.2387	-61.2054	0.7627	-92.0208	1.0602
75.9883	-4.6218	-62.0842	0.9364	-102.8148	1.0338
75.8346	-4.4728	-61.1418	0.8768	-99.1804	1.0245
75.5830	-4.3671	-60.5137	0.8420	-95.5169	1.0127
75.3736	-4.2204	-61.0014	0.7085	-89.3356	0.9950
74.8219	-4.4202	-61.7224	0.7792	-93.5806	0.9761
74.5173	-4.7106	-61.9373	0.9179	-101.9618	0.9660
74.5035	-4.2920	-60.6096	0.7392	-91.5997	0.9698
74.4866	-4.2975	-59.3889	0.7837	-93.9283	0.9640
73.9675	-4.1497	-59.5250	0.6731	-90.2322	0.9352
73.6976	-4.3695	-59.6437	0.7889	-96.1552	0.9221
73.4760	-4.3479	-59.3364	0.8014	-96.1694	0.9164
73.2846	-4.1285	-58.6040	0.7103	-90.2680	0.9098
72.8574	-4.3686	-59.5002	0.8102	-99.8526	0.8802
